Feature,Dias,Importancia
utilizacao_minima,75,0.043840496211969594
utilizacao_desvio,75,0.04380794409296445
minutos_falha_historico,75,0.04175759913549846
taxa_sobrecargas_ano,75,0.038307427951710764
num_falhas_historico,75,0.03403402941795024
dias_acima_80pct_limite,75,0.0015572692571306109
dias_desde_ultima_falha,80,0.08620393648006487
intervalo_medio_manut,80,0.08406900077086084
utilizacao_maxima,80,0.07466962425582238
utilizacao_tendencia_90d,80,0.06846885452030707
limite_potencia,80,0.06327874881160941
dias_desde_ultima_manut,80,0.06162352746065069
idade_dias,80,0.05846881063561467
delta_utilizacao,80,0.05532312005310892
taxa_falhas_ano,80,0.053830584056268685
p90_utilizacao,80,0.05207554455724149
utilizacao_media,80,0.049911774940674336
utilizacao_minima,80,0.04705939997707428
taxa_minutos_falha_ano,80,0.04673298724769074
utilizacao_desvio,80,0.04483903540900945
minutos_falha_historico,80,0.04181349924337561
num_falhas_historico,80,0.03972665185941145
num_manutencoes,80,0.03914313792398713
taxa_sobrecargas_ano,80,0.03209584117316736
dias_acima_80pct_limite,80,0.0006659206240606923
intervalo_medio_manut,85,0.09960248711359719
dias_desde_ultima_falha,85,0.08593595962901025
utilizacao_maxima,85,0.07572136925836193
dias_desde_ultima_manut,85,0.0710429134312496
limite_potencia,85,0.06896850039893304
idade_dias,85,0.06451362191898051
delta_utilizacao,85,0.06167279340471841
utilizacao_tendencia_90d,85,0.06140639875863465
p90_utilizacao,85,0.05735623074734348
utilizacao_media,85,0.05707154919198576
utilizacao_desvio,85,0.04779307283717512
taxa_minutos_falha_ano,85,0.043412261730812564
taxa_falhas_ano,85,0.04325285503606109
num_manutencoes,85,0.04071211599975784
minutos_falha_historico,85,0.03898574546399054
utilizacao_minima,85,0.03425094240353016
num_falhas_historico,85,0.024886336059949717
taxa_sobrecargas_ano,85,0.02253249789539707
dias_acima_80pct_limite,85,0.0008823487205110865
intervalo_medio_manut,90,0.08569555534229009
dias_desde_ultima_falha,90,0.07838960023576987
utilizacao_maxima,90,0.07612378060034025
limite_potencia,90,0.06941797312095627
idade_dias,90,0.06865244679693432
utilizacao_desvio,90,0.06273718439588419
utilizacao_tendencia_90d,90,0.05835279334559132
dias_desde_ultima_manut,90,0.05561147318058764
delta_utilizacao,90,0.05479682274242403
p90_utilizacao,90,0.05437986711844575
taxa_falhas_ano,90,0.05348868946773009
taxa_minutos_falha_ano,90,0.049420044162537244
utilizacao_media,90,0.0485429662808097
minutos_falha_historico,90,0.04628321937880388
utilizacao_minima,90,0.04215222975280472
num_falhas_historico,90,0.041089898909861075
num_manutencoes,90,0.03390884830286098
taxa_sobrecargas_ano,90,0.019821395498898758
dias_acima_80pct_limite,90,0.0011352113664697776
