id_equipamento,idade_dias,num_manutencoes,intervalo_medio_manut,num_falhas_historico,taxa_falhas_ano,minutos_falha_historico,taxa_minutos_falha_ano,dias_desde_ultima_manut,limite_potencia,utilizacao_media,utilizacao_maxima,utilizacao_minima,utilizacao_desvio,qtd_sobrecargas,dias_com_dados_util,vai_falhar
E345B333-A917-4E07-B06F-69340FD89087,2349,0,0.0,1,0.15538527032779906,366,56.87100893997446,0,416.0,60.27201430936909,114.4351,-29.88103,15.726217893029478,0,1049,0
FB16BEB4-78CA-4B11-85AA-16C4F7B384FD,5126,0,0.0,0,0.0,0,0.0,0,753.0,195.0540274864598,498.7553,-8.3,57.53452532840635,0,1049,0
21E6288E-F54E-4B81-A4F3-0B50E6D52145,12736,3,76.5,1,0.02865891959798995,239556,6865.416143216081,620,678.0,108.22915995372794,544.0449,0.0,75.56163580606207,0,1049,0
442DE724-EAD0-4E68-B96E-5F5071214095,4050,1,0.0,1,0.09012345679012344,304,27.397530864197527,761,504.0,16.53192042296499,202.6,0.0,31.762128264934574,0,1049,0
B8A60FBD-CDC6-4EAB-88E6-E4A10168F69E,1326,1,0.0,0,0.0,0,0.0,754,887.0,92.18519146167773,209.3543,-18.56,26.936686686937442,0,1049,0
E554C17B-1BE0-4A75-A4EC-344359693CE6,8202,1,0.0,4,0.17800536454523289,83,3.693611314313582,729,489.0,107.50941633795152,348.2184,0.0,43.123115831596486,0,1049,0
D930D9DF-F1CB-48D3-B922-F791DC37BDC9,712,2,85.0,1,0.5126404494382023,12,6.151685393258427,620,542.4,158.86856992477072,322.3049,0.0,76.40510795285746,0,785,0
E8C1B437-90CA-425C-AE12-9D21EF47DB8E,12736,3,21.0,1,0.02865891959798995,126,3.6110238693467336,704,269.0,106.94237941550045,218.28,-35.37552,27.439327370086023,0,1049,0
D3FB5DCE-F33B-4FD3-91AF-CEA0446341CF,12736,2,334.0,8,0.2292713567839196,719,20.605763190954775,362,138.0,27.715195575410846,193.259,0.0,5.98924844900543,5,1049,0
90A13DCB-D4A2-4B76-BAA5-79CC692D6B82,6574,1,0.0,2,0.11104350471554608,387,21.486918162458167,656,138.0,15.526908097892566,62.94376,0.0,3.2059981121694934,0,1049,0
5CD63272-9719-4D60-84D8-2041F64F5A46,2809,3,182.0,1,0.12993948024207905,66,8.576005695977216,263,301.0,74.85366168730567,151.326,0.0,27.283020591081403,0,1049,0
E22D3F3A-FA23-47A2-8C2F-C52A5BAF8653,12736,1,0.0,2,0.0573178391959799,20,0.573178391959799,606,188.0,33.059386046705605,138.4107,0.0,10.152314710693918,0,1049,0
5AAAA079-9B8F-4E03-8799-8BFD262DA47A,2144,1,0.0,0,0.0,0,0.0,585,0.0,74.25513392256177,173.9432,-679.58,25.30871852744471,0,715,0
B2E9766F-804A-44A5-ACA7-AF88F98CCCC9,1425,1,0.0,2,0.512280701754386,432,110.65263157894736,523,301.0,38.86602142102263,419.0932,-56.45736,22.757627914697657,5,1049,0
30CB4D98-4210-4B66-AAF8-8AD83F64C821,3522,1,0.0,1,0.1036342986939239,134,13.886996024985804,466,831.0,207.26936592600845,715.0,0.0,132.71729640873056,0,1049,0
90390E04-CE6D-4CFB-9991-61729D467616,4188,1,0.0,6,0.5229226361031518,364,31.723973256924545,466,452.0,197.88500745788778,538.0,0.0,40.86798789557181,2,1049,0
2504F7E4-B16E-4820-A3C8-990EA331CE7D,2356,1,0.0,1,0.15492359932088287,2,0.30984719864176574,461,452.0,110.02821799571751,283.0,-17.1,42.658193259036025,0,1049,0
1571A9B6-264E-4927-A936-09BC7C62B46C,4067,2,432.0,1,0.0897467420703221,196,17.59036144578313,26,624.0,142.02485300350685,497.7,0.0,82.37905036179696,0,1049,0
542358FF-AC42-4DFB-8750-AB5B18AD23A6,6163,1,0.0,0,0.0,0,0.0,458,380.0,78.36801129621405,184.1,0.0,20.776157473590683,0,1049,0
55FC5510-5348-4FD2-B755-C17BB5DDE25F,12736,2,115.0,5,0.14329459798994976,126,3.6110238693467336,443,84.0,24.813511216000318,120.2,-164.3568,14.694020045882398,2,1049,0
00B6496F-EAFA-4096-B929-2089B745186C,585,2,264.0,2,1.2478632478632479,29,18.094017094017094,173,151.0,29.715988136964143,107.0,0.0,20.629417260697384,0,645,0
FD7E9A32-A7EB-4B3A-B2CB-B5EB87374171,1535,1,0.0,1,0.23778501628664492,39,9.273615635179151,399,1247.0,121.28103438308108,478.5198,0.009231586,55.29662262276604,0,1049,0
9C75526F-F996-4B7C-B82F-8AB30EBC0F6F,12736,2,364.0,1,0.02865891959798995,26,0.7451319095477387,32,375.0,70.72705550205838,273.6572,-234.05,34.10422855738249,0,1049,0
